Field;Tank;Reservoir;Date;Qoil;Qwat;Qliq;Qinj;Pres;Source_resp;Pbhp_prod;Pbhp_inj;Source_bhp;Wellwork;Wcut;Total_mobility;Wres;Wbhp_prod;Wbhp_inj;Pres_min;Pres_max;Pres_calc;Pbhp_calc;Pinj_calc;Geom_factor;Prod_Index;Inj_index;Frac_inj;Qliq_calc;Qinj_calc
Oilfield;W6;Carbonate;01.01.2017;0.0;0.0;0.0;0.0;;;;;;;0.447252385;1.0;;;;;;165.58654073598285;165.58654073598285;165.58654073598285;0.44611105806815143;0.44611105806815143;3.0;1.0;0.0;0.0
Oilfield;W6;Carbonate;01.02.2017;0.0;0.0;0.0;0.0;;;;;;;0.447252385;1.0;;;;;;163.97998681420094;163.97998681420094;163.97998681420094;0.44611105806815143;0.44611105806815143;3.0;1.0;0.0;0.0
Oilfield;W6;Carbonate;01.03.2017;0.0;0.0;0.0;0.0;;;;;;;0.447252385;1.0;;;;;;162.75912485899588;162.75912485899588;162.75912485899588;0.44611105806815143;0.44611105806815143;3.0;1.0;0.0;0.0
Oilfield;W6;Carbonate;01.04.2017;0.0;0.0;0.0;0.0;;;;;;;0.447252385;1.0;;;;;;161.64853676314237;161.64853676314237;161.64853676314237;0.44611105806815143;0.44611105806815143;3.0;1.0;0.0;0.0
Oilfield;W6;Carbonate;01.05.2017;0.0;0.0;0.0;0.0;;;;;;;0.447252385;1.0;;;;;;160.66323305816877;160.66323305816877;160.66323305816877;0.44611105806815143;0.44611105806815143;3.0;1.0;0.0;0.0
Oilfield;W6;Carbonate;01.06.2017;0.0;0.0;0.0;0.0;;;;;;;0.447252385;1.0;;;;;;159.6950911535564;159.6950911535564;159.6950911535564;0.44611105806815143;0.44611105806815143;3.0;1.0;0.0;0.0
Oilfield;W6;Carbonate;01.07.2017;0.0;0.0;0.0;0.0;;;;;;;0.447252385;1.0;;;;;;155.98677251988352;155.98677251988352;155.98677251988352;0.44611105806815143;0.44611105806815143;3.0;1.0;0.0;0.0
Oilfield;W6;Carbonate;01.08.2017;0.0;0.0;0.0;0.0;;;;;;;0.447252385;1.0;;;;;;149.75590266655732;149.75590266655732;149.75590266655732;0.44611105806815143;0.44611105806815143;3.0;1.0;0.0;0.0
Oilfield;W6;Carbonate;01.09.2017;0.0;0.0;0.0;0.0;;;;;;;0.447252385;1.0;;;;;;145.07987931567231;145.07987931567231;145.07987931567231;0.44611105806815143;0.44611105806815143;3.0;1.0;0.0;0.0
Oilfield;W6;Carbonate;01.10.2017;0.0;0.0;0.0;0.0;;;;;;;0.447252385;1.0;;;;;;142.08129865686453;142.08129865686453;142.08129865686453;0.44611105806815143;0.44611105806815143;3.0;1.0;0.0;0.0
Oilfield;W6;Carbonate;01.11.2017;0.0;0.0;0.0;0.0;;;;;;;0.447252385;1.0;;;;;;139.75995968952222;139.75995968952222;139.75995968952222;0.44611105806815143;0.44611105806815143;3.0;1.0;0.0;0.0
Oilfield;W6;Carbonate;01.12.2017;0.0;0.0;0.0;0.0;;;;;;;0.447252385;1.0;;;;;;137.87043991069493;137.87043991069493;137.87043991069493;0.44611105806815143;0.44611105806815143;3.0;1.0;0.0;0.0
Oilfield;W6;Carbonate;01.01.2018;0.0;0.0;0.0;0.0;;;;;;;0.447252385;1.0;;;;;;136.39269465514994;136.39269465514994;136.39269465514994;0.44611105806815143;0.44611105806815143;3.0;1.0;0.0;0.0
